 Loading hOCR: 004_02_0.hocr...
Found 2658 words. Processing in batches of 200...

Batch 0-200 Processing...
   [OK] 'DIEL' -> 'DIEU'

   [OK] 'BROIT' -> 'DROIT'

   [OK] 'bas' -> 'has'

   [OK] 'feverity' -> 'severity'

   [OK] 'ft' -> 'st'

   [OK] '46' -> 'I'

   [OK] 'ON' -> 'IN'

   [OK] 'refolutions' -> 'resolutions'

   [OK] 'Foreigne' -> 'Foreigners'

   [OK] 's' -> ''

   [OK] 'diftinction' -> 'distinction'

   [OK] 'diftinétions' -> 'distinctions'

   [OK] 'Procia' -> 'Proclamations'

   [OK] 'mations' -> ''

   [OK] 'ren' -> 'remove'

   [OK] 'ove' -> ''

   [OK] 'hail' -> 'shall'

   [OK] 'themfle' -> 'themselves'

   [OK] 'refufe' -> 'refuse'

   [OK] 'i' -> 'is'

   [OK] 'politica' -> 'political'

   [OK] 'ani' -> 'and'

   [OK] 'fubjection' -> 'subjection'
 Done. (23 changes applied)

Batch 200-400 Processing...
   [OK] 'domeftic' -> 'domestic'

   [OK] 'thir' -> 'their'

   [OK] 'Auguft' -> 'August'

   [OK] 'publ.fhed' -> 'published'

   [OK] 'ftating' -> 'stating'

   [OK] 'refiding' -> 'residing'

   [OK] 'fubmiffion' -> 'submission'

   [OK] 't' -> 'to'

   [OK] 'fay' -> 'say'

   [OK] 'unde' -> 'under'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'fchedule' -> 'schedule'

   [OK] 'tee' -> 'see'

   [OK] 'ufual' -> 'usual'

   [OK] 'iflue' -> 'issue'

   [OK] 'va' -> 'va-'

   [OK] 'abfurdities' -> 'absurdities'

   [OK] 'configned' -> 'consigned'

   [OK] 'everlafting' -> 'everlasting'

   [OK] 'Conftitutional' -> 'Constitutional'

   [OK] 'fend' -> 'send'

   [OK] 'tompanions' -> 'companions'

   [OK] 'Af-' -> 'As-'

   [OK] 'fembly' -> 'sembly'
 Done. (24 changes applied)

Batch 400-600 Processing...
   [OK] 'promul' -> 'promul-'

   [OK] '.' -> ''

   [OK] 'fupported' -> 'supported'

   [OK] 'Thas' -> 'Thus'

   [OK] 'leaft' -> 'least'

   [OK] 'poft-' -> 'post-'

   [OK] 'Affembly' -> 'Assembly'

   [OK] 'propofition' -> 'proposition'

   [OK] 'Bruffels' -> 'Brussels'

   [OK] 'lefs' -> 'less'

   [OK] 'apprehen' -> 'apprehen-'

   [OK] '.' -> ''

   [OK] 'Give' -> 'five'

   [OK] 'Auftrian' -> 'Austrian'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'difpofition' -> 'disposition'

   [OK] 'againt' -> 'against'

   [OK] 'Darmitadt' -> 'Darmstadt'
 Done. (18 changes applied)

Batch 600-800 Processing...
   [OK] 'fubmit' -> 'submit'

   [OK] 'theic' -> 'these'

   [OK] 'teen' -> 'seen'

   [OK] 'meatures' -> 'measures'

   [OK] 'Affemblies' -> 'Assemblies'

   [OK] 'inftituted' -> 'instituted'

   [OK] '.' -> '-'

   [OK] 'felves' -> 'selves'

   [OK] 'difcipline' -> 'discipline'

   [OK] 'till' -> 'still'

   [OK] 'fufpicion' -> 'suspicion'

   [OK] 'fcrupulous' -> 'scrupulous'

   [OK] 'p.ofeffed' -> 'possessed'

   [OK] 'fubordination' -> 'subordination'

   [OK] '.' -> '-'

   [OK] 'refidence' -> 'residence'
 Done. (16 changes applied)

Batch 800-1000 Processing...
   [OK] 'fingular' -> 'singular'

   [OK] 'ftri' -> 'stri'

