Word ID,Unresolved Word
word_1_8_0_9_14,affecti
word_1_8_0_10_1,ons
word_1_8_0_13_6,honourable
word_1_10_0_4_4,meflage
word_1_10_0_4_12,effufion
word_1_10_0_13_9,affitting
word_1_10_1_0_9,effofions
word_1_10_1_1_10,embarafiment
word_1_10_1_2_0,feffed
word_1_10_1_2_11,taid
word_1_10_1_5_7,mesiage
word_1_10_1_6_12,fift
word_1_10_1_10_0,universa
word_1_10_1_12_4,inmediately
word_1_10_1_16_2,teconded
word_1_10_1_30_8,paffled
word_1_10_3_3_14,το
word_1_10_3_9_0,flage
word_1_12_0_0_0,Nоме
word_1_14_0_0_0,LONDRES
word_1_15_0_0_0,Majee
word_1_15_0_1_4,qu'il
word_1_15_0_3_2,qu'il
word_1_15_0_4_0,P'orateur
word_1_15_0_4_10,d'usage
word_1_18_0_0_0,UE
word_1_18_0_0_6,subsiden
word_1_18_0_3_7,d'économie
word_1_18_0_5_10,déja
word_1_18_0_5_11,projetté
word_1_18_0_6_1,réglement
word_1_18_0_6_7,qu'elle
word_1_18_0_6_9,briévement
word_1_18_0_7_7,allistance
word_1_18_0_7_10,éxécution
word_1_18_0_8_14,l'affec
word_1_18_0_9_0,tion
word_1_18_0_9_5,entiérement
word_1_18_0_9_12,l'hon
word_1_18_0_10_0,neur
word_1_18_0_11_0,jusqu'ici
word_1_18_0_12_2,sureté
word_1_18_0_12_13,hono
word_1_18_0_13_1,rable
word_1_18_0_13_2,envèrs
word_1_18_0_15_5,lû
word_1_18_0_15_7,l'orateur
word_1_21_0_1_7,effer
word_1_21_0_1_11,qu'il
word_1_21_0_2_3,qu'il
word_1_21_0_3_1,bénignité
word_1_21_0_3_5,étair
word_1_21_0_3_7,qu'il
word_1_21_0_3_11,effufion
word_1_21_0_4_0,cœur
word_1_21_0_4_4,détrefle
word_1_21_0_4_15,autr
word_1_21_0_5_7,c'était
word_1_21_0_5_12,da
word_1_21_0_6_0,changemert
word_1_21_0_6_3,miniftére
word_1_21_0_6_9,s'était
word_1_21_0_7_8,qu'il
word_1_21_0_8_4,qu'il
word_1_21_0_8_5,n'avait
word_1_21_0_9_1,cœur
word_1_21_0_9_3,cteur
word_1_21_0_10_2,lorsqu'on
word_1_21_0_10_13,espé
word_1_21_0_11_0,rait
word_1_21_0_11_2,contéquent
word_1_21_0_11_11,païs
word_1_21_0_12_2,longtems
word_1_21_0_13_1,n'ayant
word_1_21_0_13_2,qu'un
word_1_21_0_13_6,s'affittant
word_1_21_0_13_8,l'an
word_1_21_0_13_10,l'autre
word_1_21_0_14_7,l'univers
word_1_21_0_14_10,qu'ils
word_1_21_0_14_11,n'avaient
word_1_21_0_14_12,d'autre
word_1_21_0_15_9,l'honneury
word_1_21_0_16_1,l'esprit
word_1_21_1_0_10,effufions
word_1_21_1_0_12,foik
word_1_21_1_1_0,coœur
word_1_21_1_1_3,fujer
word_1_21_1_2_3,l'avait
word_1_21_1_2_13,vou
word_1_21_1_3_9,qu'il
word_1_21_1_3_15,cen
word_1_21_1_4_2,qu'il
word_1_21_1_4_3,croisit
word_1_21_1_4_12,lolauté
word_1_21_1_4_13,d'ut
word_1_21_1_6_5,d'avoir
word_1_21_1_6_8,prémier
word_1_21_1_7_3,finguller
word_1_21_1_8_1,roïale
word_1_21_1_8_9,s'il
word_1_21_1_9_3,louversin
word_1_21_1_9_6,qu'il
word_1_21_1_9_8,vou
word_1_21_1_10_2,tems
word_1_21_1_10_16,l'appros
word_1_21_1_11_0,bation
word_1_21_1_11_10,d'éle
word_1_21_1_12_0,quence
word_1_21_1_12_3,cœurs
word_1_21_1_12_5,qu'ainfi
word_1_21_1_12_10,qu'il
word_1_21_1_14_0,meilage
word_1_21_1_14_3,l'affusor
word_1_21_1_14_7,nélée
word_1_21_1_14_10,fidelles
word_1_21_1_16_0,l'honneur
word_1_21_2_0_7,zéle
word_1_21_2_1_14,avaiene
word_1_21_2_2_10,d'autre
word_1_21_2_3_4,qu'une
word_1_21_2_3_11,reci
word_1_21_2_4_0,proque
word_1_21_2_4_4,qu'il
word_1_21_2_4_6,rejouifiait
word_1_21_2_5_4,longtems
word_1_21_2_7_0,loïauté
word_1_21_2_7_2,qu'il
word_1_21_2_8_0,l'unique
word_1_21_2_8_1,moien
word_1_21_2_8_11,bormé
word_1_21_2_9_5,floriflante
word_1_21_2_9_7,qu'il
word_1_21_2_9_11,s'empêcher
word_1_21_2_10_3,tems
word_1_21_2_11_14,l'intro
word_1_21_2_12_0,duction
word_1_21_2_12_10,rejetté
word_1_21_2_13_0,quoiqu'il
word_1_21_2_15_4,n'y
word_1_21_2_16_0,s'attendre
word_1_21_2_16_2,adminißration
word_1_21_2_16_4,vertucule
word_1_21_3_0_0,L'Orateur
word_1_21_3_0_7,l'addrefle
word_1_21_4_0_10,permiffiott
word_1_21_4_0_12,meler
word_1_21_4_0_14,fentia
word_1_21_4_1_0,ments
word_1_21_4_1_7,l'occafion
word_1_21_4_1_14,benigni
word_1_21_4_2_5,d'autant
word_1_21_4_2_9,c'étan
word_1_21_4_3_0,cœur
word_1_21_4_3_9,loïal
word_1_21_4_3_11,fouffrant
word_1_21_4_5_1,declaré
word_1_21_4_6_14,ie
word_1_21_4_7_4,l'Echiquier
word_1_21_4_7_8,immediat
