Word ID,Original Word,Corrected Word,Rule Applied
word_1_2_0_0_2,"EF
","ES
",Heuristic 'f' to 's' Replacement
word_1_3_0_0_5,aſſerted ,asserted ,Long 's' (ſ) Replacement
word_1_3_0_1_4,Anſwer ,Answer ,Long 's' (ſ) Replacement
word_1_3_0_2_0,Congrefs,Congress,Heuristic 'f' to 's' Replacement
word_1_6_0_0_6,confefſed,confefsed,Long 's' (ſ) Replacement (Unresolved)
word_1_6_0_1_2,confidered ,considered ,CSV Dictionary Match
word_1_6_0_1_5,exclufive ,exclusive ,Heuristic 'f' to 's' Replacement
word_1_6_0_2_1,Repreſentatives ,Representatives ,Long 's' (ſ) Replacement
word_1_6_0_7_0,requeft ,request ,Heuristic 'f' to 's' Replacement
word_1_6_0_7_5,expreſs ,express ,Long 's' (ſ) Replacement
word_1_6_0_8_4,ſimilar ,similar ,Long 's' (ſ) Replacement
word_1_6_0_8_10,ſame ,same ,Long 's' (ſ) Replacement
word_1_6_0_8_11,ſucceſs,success,Long 's' (ſ) Replacement
word_1_6_0_10_4,ſubmitted ,submitted ,Long 's' (ſ) Replacement
word_1_6_0_10_6,ſame ,same ,Long 's' (ſ) Replacement
word_1_6_0_10_7,ſuppoſed ,supposed ,Long 's' (ſ) Replacement
word_1_6_0_11_13,"reaſon
","reason
",Long 's' (ſ) Replacement
word_1_6_0_12_2,requeſt ,request ,Long 's' (ſ) Replacement
word_1_6_0_12_3,ſhould ,should ,Long 's' (ſ) Replacement
word_1_6_0_12_5,refuſed,refused,Long 's' (ſ) Replacement
word_1_6_0_13_5,repreſented ,represented ,Long 's' (ſ) Replacement
word_1_6_0_14_1,Burgeſſes ,Burgesses ,Long 's' (ſ) Replacement
word_1_6_0_14_3,repreſent ,represent ,Long 's' (ſ) Replacement
word_1_6_0_16_5,faid ,said ,CSV Dictionary Match
word_1_6_0_16_11,"moſt
","most
",Long 's' (ſ) Replacement
word_1_6_0_18_4,reſt ,rest ,Long 's' (ſ) Replacement
word_1_6_0_19_0,ſuaded,suaded,Hyphenated Part: Long 's' (ſ) Replacement
word_1_6_0_19_8,repreſented ,represented ,Long 's' (ſ) Replacement
word_1_6_1_0_6,circumſtance ,circumstance ,Long 's' (ſ) Replacement
word_1_6_1_0_9,infinuated ,insinuated ,Heuristic 'f' to 's' Replacement
word_1_6_1_1_10,"fupre-
","supre-
",Hyphenated Part: Heuristic 'f' to 's' Replacement
word_1_6_1_2_3,ſhould ,should ,Long 's' (ſ) Replacement
word_1_6_1_4_1,conceffions ,concessions ,Heuristic 'f' to 's' Replacement
word_1_6_1_5_1,ſeems ,seems ,Long 's' (ſ) Replacement
word_1_6_1_5_4,reaſon,reason,Long 's' (ſ) Replacement
word_1_6_1_5_6,ſay ,say ,Long 's' (ſ) Replacement
word_1_6_1_6_0,ſhould ,should ,Long 's' (ſ) Replacement
word_1_6_1_6_8,poffeffing ,possessing ,Heuristic 'f' to 's' Replacement
word_1_6_1_7_10,Britiſh ,British ,Long 's' (ſ) Replacement
word_1_6_1_8_0,ſhould ,should ,Long 's' (ſ) Replacement
word_1_6_1_8_6,impoſts,imposts,Long 's' (ſ) Replacement
word_1_6_1_8_9,firſt ,first ,Long 's' (ſ) Replacement
word_1_6_1_8_11,theſe ,these ,Long 's' (ſ) Replacement
word_1_6_1_8_12,"aſſertions
","assertions
",Long 's' (ſ) Replacement
word_1_6_1_10_6,fome ,some ,CSV Dictionary Match
word_1_6_1_10_10,ſubject ,subject ,Long 's' (ſ) Replacement
word_1_6_1_11_3,ſupreme ,supreme ,Long 's' (ſ) Replacement
word_1_6_1_13_0,fupreme,supreme,Heuristic 'f' to 's' Replacement
word_1_6_1_13_2,univerſal,universal,Long 's' (ſ) Replacement
word_1_6_1_13_5,difcretionary ,discretionary ,Heuristic 'f' to 's' Replacement
word_1_6_1_14_9,ſtate ,state ,Long 's' (ſ) Replacement
word_1_6_1_15_0,meafure ,measure ,CSV Dictionary Match
word_1_6_1_15_1,neceſſary,necessary,Long 's' (ſ) Replacement
word_1_6_1_16_10,Magiftrate,Magistrate,Heuristic 'f' to 's' Replacement
word_1_6_1_18_8,fuch ,such ,CSV Dictionary Match
word_1_6_1_18_10,caſe ,case ,Long 's' (ſ) Replacement
word_1_6_1_19_5,ufurp ,usurp ,Heuristic 'f' to 's' Replacement
word_1_6_1_20_3,foleciſm ,solecism ,Heuristic 'f' to 's' Replacement
word_1_6_2_0_3,neceffary,necessary,CSV Dictionary Match
word_1_6_2_1_0,ſo ,so ,Long 's' (ſ) Replacement
word_1_6_2_2_4,deſerted ,deserted ,Long 's' (ſ) Replacement
word_1_6_2_3_0,ſpeak ,speak ,Long 's' (ſ) Replacement
word_1_6_2_3_4,ſubjects,subjects,Long 's' (ſ) Replacement
word_1_6_2_3_7,aſſume ,assume ,Long 's' (ſ) Replacement
word_1_6_2_4_7,queſtion ,question ,Long 's' (ſ) Replacement
word_1_6_2_6_0,ſifts ,sists ,Hyphenated Part: Heuristic 'f' to 's' Replacement
word_1_6_2_11_0,raiſed ,raised ,Long 's' (ſ) Replacement
word_1_6_2_12_1,ſovereign,sovereign,Long 's' (ſ) Replacement
word_1_6_2_12_5,aſcribed ,ascribed ,Long 's' (ſ) Replacement
word_1_6_3_0_2,ſituation ,situation ,Long 's' (ſ) Replacement
word_1_6_3_0_13,"fur-
","sur-
",CSV Dictionary Match
word_1_6_3_1_10,ſtate ,state ,Long 's' (ſ) Replacement
word_1_6_3_1_11,ſhould ,should ,Long 's' (ſ) Replacement
word_1_6_3_3_1,ſtigmatize ,stigmatize ,Long 's' (ſ) Replacement
word_1_6_3_4_3,oppreffion,oppression,Heuristic 'f' to 's' Replacement
word_1_6_3_4_5,Paſſing ,Passing ,Long 's' (ſ) Replacement
word_1_6_3_4_8,ſtrain ,strain ,Long 's' (ſ) Replacement
