Word ID,Unresolved Word
word_1_0_0_0_0,camte
word_1_0_1_4_0,tlemen
word_1_0_1_5_2,confefsed
word_1_0_1_8_9,expences
word_1_0_1_9_4,himselt
word_1_0_1_10_4,reformin
word_1_0_1_11_0,thens
word_1_0_1_12_4,meslage
word_1_0_1_13_14,tecono
word_1_0_2_0_11,nem
word_1_0_4_1_0,Charlestown
word_1_0_4_4_0,Charlestown
word_1_0_6_0_1,lalt
word_1_0_7_1_0,Montego
word_1_1_0_10_0,UTW
word_1_10_0_0_5,qu'il
word_1_10_0_0_6,s'adressait
word_1_10_0_3_4,étâ
word_1_10_0_3_8,s'adressa
word_1_10_0_5_1,luggera
word_1_10_0_5_3,prémier
word_1_10_0_5_13,l'y
word_1_10_0_6_2,naient
word_1_10_0_6_12,parceque
word_1_10_0_9_8,tems
word_1_10_0_9_13,féricuse
word_1_10_1_0_8,qu'il
word_1_10_1_1_10,qu'il
word_1_10_1_1_12,avoit
word_1_10_1_2_0,qu'un
word_1_10_1_2_9,otant
word_1_10_1_3_4,priviléges
word_1_10_1_3_9,l'aprouvaient
word_1_10_1_4_15,lufitamment
word_1_10_1_5_6,l'érât
word_1_10_1_6_3,qu'était
word_1_10_1_6_10,annullée
word_1_10_1_9_6,qu'elle
word_1_10_1_10_4,d'alleger
word_1_10_1_10_8,qu'elle
word_1_10_1_12_0,qu'il
word_1_10_1_12_15,d'éco
word_1_10_1_13_0,nomie
word_1_10_1_13_1,qu'elle
word_1_10_1_13_14,l'adminif
word_1_10_1_14_0,tration
word_1_10_1_14_3,païs
word_1_10_2_0_0,L'Orateur
word_1_10_2_0_3,l'adresse
word_1_10_2_1_6,curent
word_1_10_2_1_9,l'aller
word_1_10_2_2_0,Majeltérico
word_1_10_4_0_2,l'après
word_1_10_4_1_9,tranquile
word_1_10_5_1_12,riviere
word_1_10_5_1_13,d'Hudson
word_1_10_5_3_6,cœur
word_1_10_5_3_14,l'ont
word_1_10_6_0_4,brigantin
word_1_10_6_1_15,qu'll
word_1_10_6_2_13,l'afura
word_1_10_6_2_14,l'affun
word_1_10_6_2_15,l'affura
word_1_10_6_2_16,qu'il
word_1_10_6_4_2,l'Amiral
word_1_10_6_4_6,qu'en
word_1_10_6_5_2,l'ancre
word_1_10_6_5_15,dernieres
word_1_10_6_6_8,qu'on
word_1_10_6_6_9,l'avait
word_1_10_6_7_6,d'être
word_1_10_6_8_1,prifoniers
word_1_10_6_8_18,deurs
word_1_10_6_9_7,sanci
word_1_10_7_0_0,AVERTISSEMENS
word_1_11_2_0_1,pai
word_1_13_0_0_0,Québec
word_1_13_0_0_4,d'Août
word_1_14_0_1_4,péseroit
word_1_14_0_2_1,péseroit
word_1_14_1_0_11,vendoient
word_1_14_1_1_20,l'Avoine
word_1_14_1_2_4,fauroient
word_1_14_1_2_9,qu'il
word_1_14_1_2_10,n'y
word_1_16_0_2_0,LAING
word_1_16_0_7_0,Davifon
word_1_16_0_9_0,l'emplacement
word_1_16_0_11_0,ontdemeurés
word_1_16_0_13_1,l'autre
word_1_16_0_13_10,derriere
word_1_16_0_14_3,prétenfions
word_1_16_0_14_5,hipothéque
word_1_16_0_16_3,d'Octobre
word_1_16_0_17_2,tems
word_1_16_0_17_4,n'aura
word_1_16_0_18_0,Québec
word_1_16_0_18_4,d'Août
word_1_17_0_0_3,paflage
word_1_19_0_0_0,ORI
word_1_20_1_0_0,Ciaret
word_1_22_0_2_3,d'Irlande
word_1_24_2_0_2,d'Irlande
word_1_25_0_0_2,d'Irlande
word_1_25_0_0_6,prémiere
word_1_25_0_0_7,qualitéz
word_1_26_0_0_0,CADEIRA
word_1_26_0_6_0,Vidonia
word_1_26_0_10_0,Annifeed
word_1_26_0_17_0,Frontinac
word_1_26_0_18_0,Clarety
word_1_29_0_0_0,HOCOLATE
word_1_29_0_1_3,70HN
word_1_31_0_1_0,ILLIAM
word_1_31_0_5_4,otherways
word_1_33_0_1_1,l'Enseigne
word_1_33_0_1_8,3xme
word_1_33_0_1_11,d'infanterie
word_1_33_0_3_13,zer
word_1_33_0_4_1,tems
word_1_33_0_4_3,n'y
word_1_34_0_0_0,Québec
word_1_35_0_2_2,ift
word_1_35_1_1_0,Mefirs
word_1_35_1_3_2,ferieusement
word_1_35_1_3_5,s'acquiter
word_1_35_1_3_7,delai
word_1_35_3_4_0,Mefits
word_1_35_3_8_15,whe
word_1_36_0_0_2,stb
word_1_37_0_1_0,GBANT
