 Loading hOCR: 004_02_0.hocr...
Found 2658 words. Processing in batches of 100...

Batch 0-100 Processing...
   [OK] 'DIEL' -> 'DIEU'

   [OK] 'BROIT' -> 'DROIT'

   [OK] 'bas' -> 'has'

   [OK] 'feverity' -> 'severity'

   [OK] 'ft' -> '1st'

   [OK] 'refolutions' -> 'resolutions'

   [OK] 'Foreigne' -> 'Foreigners'

   [OK] 's' -> ''

   [OK] 'diftinction' -> 'distinction'

   [OK] 'diftinétions' -> 'distinctions'
 Done. (10 changes applied)

Batch 100-200 Processing...
   [OK] 'Procia' -> 'Procla'

   [OK] 'ren' -> 'rem'

   [OK] 'themfle' -> 'themsel'

   [OK] 'refufe' -> 'refuse'

   [OK] 'politica' -> 'political'

   [OK] 'ani' -> 'and'

   [OK] 'fubjection' -> 'subjection'
 Done. (7 changes applied)

Batch 200-300 Processing...
   [OK] 'domeftic' -> 'domestic'

   [OK] 'thir' -> 'their'

   [OK] 'Auguft' -> 'August'

   [OK] 'publ.fhed' -> 'published'

   [OK] 'ftating' -> 'stating'

   [OK] 'refiding' -> 'residing'

   [OK] 'fubmiffion' -> 'submission'

   [OK] 't' -> 'to'

   [OK] 'fay' -> 'say'

   [OK] 'unde' -> 'under'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'fchedule' -> 'schedule'
 Done. (12 changes applied)

Batch 300-400 Processing...
   [OK] 'ufual' -> 'usual'

   [OK] 'iflue' -> 'issue'

   [OK] 'va' -> 'va-'

   [OK] 'abfurdities' -> 'absurdities'

   [OK] 'configned' -> 'consigned'

   [OK] 'everlafting' -> 'everlasting'

   [OK] 'Conftitutional' -> 'Constitutional'

   [OK] 'fend' -> 'send'

   [OK] 'tompanions' -> 'companions'

   [OK] 'fembly' -> 'Assembly'
 Done. (10 changes applied)

Batch 400-500 Processing...
   [OK] 'fupported' -> 'supported'

   [OK] 'Thas' -> 'Thus'

   [OK] 'leaft' -> 'least'

   [OK] 'poft-' -> 'post-'

   [OK] 'Affembly' -> 'Assembly'

   [OK] 'propofition' -> 'proposition'
 Done. (6 changes applied)

Batch 500-600 Processing...
   [OK] 'Bruffels' -> 'Brussels'

   [OK] 'lefs' -> 'less'

   [OK] 'apprehen' -> 'apprehen-'

   [OK] 'Give' -> 'five'

   [OK] 'Auftrian' -> 'Austrian'

   [OK] 'expreffed' -> 'expressed'

   [OK] 'difpofition' -> 'disposition'

   [OK] 'againt' -> 'against'

   [OK] 'Darmitadt' -> 'Darmstadt'
 Done. (9 changes applied)

Batch 600-700 Processing...
   [OK] 'fubmit' -> 'submit'

   [OK] 'theic' -> 'these'

   [OK] 'teen' -> 'seen'

   [OK] 'meatures' -> 'measures'

   [OK] 'Affemblies' -> 'Assemblies'

   [OK] 'inftituted' -> 'instituted'

   [OK] 'them' -> 'them-'

   [OK] '.' -> ''

   [OK] 'felves' -> 'selves'

   [OK] 'difcipline' -> 'discipline'

   [OK] 'till' -> 'still'

   [OK] 'fufpicion' -> 'suspicion'
 Done. (12 changes applied)

Batch 700-800 Processing...
   [OK] 'fcrupulous' -> 'scrupulous'

   [OK] 'Volunt' -> 'Volunt-'

   [OK] 'p.ofeffed' -> 'possessed'

   [OK] 'fubordination' -> 'subordination'

   [OK] 'CHARTERS' -> 'CHARTRES'

   [OK] 'est' -> 'est-'

   [OK] '.' -> ''

   [OK] 'refidence' -> 'residence'
 Done. (8 changes applied)

Batch 800-900 Processing...
   [OK] 'fingular' -> 'singular'

   [OK] 'ftri' -> 'stri'

